snapshot_id,pipeline,version_collecte,fenetre_debut,fenetre_fin,annonce_id,url,modele,annee,type_connexion,segment,source_taxonomie,energie,reservation_instantanee,prix_jour,prix_heure,note,nb_avis,commune_recherche,commune_annonce,communes_recherche,nb_communes_matchees,rang_resultat,livraison_disponible,mon_vehicule,compte_proprietaire,distance_recherche,nb_resultats_total,nb_clics_pagination
20260805T190259,A2,v3.4-search-json,2026-08-06T09:00,2026-08-06T20:00,1832158,https://fr.getaround.com/location-voiture/puteaux/renault-clio-1832158,Renault Clio (2015),2015,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,64.0,,3.5,2,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,2,False,True,C3,400,424,1
20260805T190259,A2,v3.4-search-json,2026-08-06T09:00,2026-08-06T20:00,1832157,https://fr.getaround.com/location-voiture/puteaux/renault-clio-1832157,Renault Clio (2019),2019,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,72.0,,4.0,1,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,4,False,True,C3,400,424,1
20260805T190259,A2,v3.4-search-json,2026-08-06T09:00,2026-08-06T20:00,1832159,https://fr.getaround.com/location-voiture/puteaux/toyota-aygo-ii-1832159,Toyota Aygo II (2021),2021,Getaround Connect,MICRO_CITADINE,SEGMENT_RULES,THERMIQUE,True,67.0,,4.0,2,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,5,False,True,C3,400,424,1
20260805T190259,A2,v3.4-search-json,2026-08-06T09:00,2026-08-06T20:00,1743643,https://fr.getaround.com/location-voiture/puteaux/renault-clio-1743643,Renault Clio (2015),2015,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,69.0,,5.0,3,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,6,False,True,C3,480,424,1
20260805T190259,A2,v3.4-search-json,2026-08-06T09:00,2026-08-06T20:00,1719415,https://fr.getaround.com/location-voiture/puteaux/volkswagen-polo-1719415,Volkswagen Polo (2014),2014,Sur rendez-vous,CITADINE,SEGMENT_RULES,THERMIQUE,True,70.0,,4.44,9,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,7,False,True,C3,400,424,1
20260805T190259,A2,v3.4-search-json,2026-08-06T09:00,2026-08-06T20:00,1701291,https://fr.getaround.com/location-voiture/puteaux/volkswagen-golf-1701291,Volkswagen Golf (2012),2012,Sur rendez-vous,COMPACTE,SEGMENT_RULES,THERMIQUE,True,76.0,,4.86,14,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,10,False,True,C3,400,424,1
20260805T190259,A2,v3.4-search-json,2026-08-06T09:00,2026-08-06T20:00,1935546,https://fr.getaround.com/location-voiture/puteaux/renault-megane-iv-1935546,Renault Mégane IV (2018),2018,Getaround Connect,COMPACTE,SEGMENT_RULES,THERMIQUE,True,72.0,,,,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,12,False,True,C3,480,424,1
20260805T190259,A2,v3.4-search-json,2026-08-06T09:00,2026-08-06T20:00,1878543,https://fr.getaround.com/location-voiture/puteaux/renault-clio-societe-1878543,Renault Clio Société (2018),2018,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,55.0,,,,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,14,False,True,C2,480,424,1
20260805T190259,A2,v3.4-search-json,2026-08-06T09:00,2026-08-06T20:00,1078506,https://fr.getaround.com/location-voiture/puteaux/renault-clio-1078506,Renault Clio (2011),2011,Sur rendez-vous,CITADINE,SEGMENT_RULES,THERMIQUE,False,64.0,,4.79,21,Puteaux,Puteaux,Puteaux|Paris 17e,2,15,False,True,C1,480,424,1
20260805T190259,A2,v3.4-search-json,2026-08-06T09:00,2026-08-06T20:00,1881481,https://fr.getaround.com/location-voiture/puteaux/citroen-c1-1881481,Citroen C1 (2016),2016,Getaround Connect,MICRO_CITADINE,SEGMENT_RULES,THERMIQUE,True,66.0,,5.0,2,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,16,False,True,C2,480,424,1
20260805T190259,A2,v3.4-search-json,2026-08-06T09:00,2026-08-06T20:00,1881624,https://fr.getaround.com/location-voiture/puteaux/renault-twingo-iii-1881624,Renault Twingo III (2015),2015,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,68.0,,5.0,1,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,18,False,True,C2,480,424,1
20260805T190259,A2,v3.4-search-json,2026-08-06T09:00,2026-08-06T20:00,1881118,https://fr.getaround.com/location-voiture/puteaux/peugeot-208-1881118,Peugeot 208 (2019),2019,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,72.0,,3.5,2,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,19,False,True,C2,480,424,1
20260805T190259,A2,v3.4-search-json,2026-08-06T09:00,2026-08-06T20:00,1881606,https://fr.getaround.com/location-voiture/puteaux/volkswagen-up-1881606,Volkswagen Up! (2020),2020,Getaround Connect,MICRO_CITADINE,SEGMENT_RULES,THERMIQUE,True,67.0,,3.0,1,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,20,False,True,C2,480,424,1
20260805T190259,A2,v3.4-search-json,2026-08-06T09:00,2026-08-06T20:00,1881691,https://fr.getaround.com/location-voiture/puteaux/opel-corsa-1881691,Opel Corsa (2017),2017,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,72.0,,4.5,2,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,21,False,True,C2,480,424,1
