snapshot_id,pipeline,version_collecte,fenetre_debut,fenetre_fin,annonce_id,url,modele,annee,type_connexion,segment,source_taxonomie,energie,reservation_instantanee,prix_jour,prix_heure,note,nb_avis,commune_recherche,commune_annonce,communes_recherche,nb_communes_matchees,rang_resultat,livraison_disponible,mon_vehicule,compte_proprietaire,distance_recherche,nb_resultats_total,nb_clics_pagination
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1832158,https://fr.getaround.com/location-voiture/puteaux/renault-clio-1832158,Renault Clio (2015),2015,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,69.0,,3.5,2,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,2,False,True,C3,400,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1832157,https://fr.getaround.com/location-voiture/puteaux/renault-clio-1832157,Renault Clio (2019),2019,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,81.0,,4.0,1,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,3,False,True,C3,400,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1743643,https://fr.getaround.com/location-voiture/puteaux/renault-clio-1743643,Renault Clio (2015),2015,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,74.0,,5.0,3,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,4,False,True,C3,480,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1832159,https://fr.getaround.com/location-voiture/puteaux/toyota-aygo-ii-1832159,Toyota Aygo II (2021),2021,Getaround Connect,MICRO_CITADINE,SEGMENT_RULES,THERMIQUE,True,76.0,,4.0,2,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,5,False,True,C3,400,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1719415,https://fr.getaround.com/location-voiture/puteaux/volkswagen-polo-1719415,Volkswagen Polo (2014),2014,Sur rendez-vous,CITADINE,SEGMENT_RULES,THERMIQUE,True,71.0,,4.44,9,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,6,False,True,C3,400,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1935546,https://fr.getaround.com/location-voiture/puteaux/renault-megane-iv-1935546,Renault Mégane IV (2018),2018,Getaround Connect,COMPACTE,SEGMENT_RULES,THERMIQUE,True,76.0,,,,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,9,False,True,C3,480,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1701291,https://fr.getaround.com/location-voiture/puteaux/volkswagen-golf-1701291,Volkswagen Golf (2012),2012,Sur rendez-vous,COMPACTE,SEGMENT_RULES,THERMIQUE,True,81.0,,4.86,14,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,10,False,True,C3,400,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1078506,https://fr.getaround.com/location-voiture/puteaux/renault-clio-1078506,Renault Clio (2011),2011,Sur rendez-vous,CITADINE,SEGMENT_RULES,THERMIQUE,False,69.0,,4.79,21,Puteaux,Puteaux,Puteaux|Paris 17e,2,12,False,True,C1,480,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1881481,https://fr.getaround.com/location-voiture/puteaux/citroen-c1-1881481,Citroen C1 (2016),2016,Getaround Connect,MICRO_CITADINE,SEGMENT_RULES,THERMIQUE,True,69.0,,5.0,2,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,16,False,True,C2,480,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1881624,https://fr.getaround.com/location-voiture/puteaux/renault-twingo-iii-1881624,Renault Twingo III (2015),2015,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,74.0,,5.0,1,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,20,False,True,C2,480,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1832153,https://fr.getaround.com/location-voiture/puteaux/volkswagen-tiguan-1832153,Volkswagen Tiguan (2015),2015,Getaround Connect,SUV_FAMILIAL,SEGMENT_RULES,THERMIQUE,True,87.0,,1.0,1,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,22,False,True,C3,400,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1878543,https://fr.getaround.com/location-voiture/puteaux/renault-clio-societe-1878543,Renault Clio Société (2018),2018,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,68.0,,,,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,23,False,True,C2,480,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1881415,https://fr.getaround.com/location-voiture/puteaux/renault-twingo-1881415,Renault Twingo (2017),2017,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,68.0,,,,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,26,False,True,C2,480,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1881606,https://fr.getaround.com/location-voiture/puteaux/volkswagen-up-1881606,Volkswagen Up! (2020),2020,Getaround Connect,MICRO_CITADINE,SEGMENT_RULES,THERMIQUE,True,72.0,,3.0,1,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,27,False,True,C2,480,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,716035,https://fr.getaround.com/location-voiture/puteaux/citroen-c3-716035,Citroen C3 (2016),2016,Sur rendez-vous,CITADINE,SEGMENT_RULES,THERMIQUE,False,64.0,,4.54,35,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,29,False,True,C1,480,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1881636,https://fr.getaround.com/location-voiture/puteaux/peugeot-108-1881636,Peugeot 108 (2019),2019,Getaround Connect,MICRO_CITADINE,SEGMENT_RULES,THERMIQUE,True,72.0,,3.5,4,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,30,False,True,C2,480,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1718469,https://fr.getaround.com/location-voiture/puteaux/peugeot-5008-1718469,Peugeot 5008 (2014),2014,Sur rendez-vous,MONOSPACE,SEGMENT_RULES,THERMIQUE,True,124.0,,3.5,2,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,31,False,True,C3,400,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1881118,https://fr.getaround.com/location-voiture/puteaux/peugeot-208-1881118,Peugeot 208 (2019),2019,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,81.0,,3.5,2,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,34,False,True,C2,480,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1881691,https://fr.getaround.com/location-voiture/puteaux/opel-corsa-1881691,Opel Corsa (2017),2017,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,81.0,,4.5,2,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,35,False,True,C2,480,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1859070,https://fr.getaround.com/location-voiture/puteaux/audi-a1-1859070,Audi A1 (2011),2011,Sur rendez-vous,CITADINE,SEGMENT_RULES,THERMIQUE,False,81.0,,,,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,51,False,True,C3,480,399,2
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1912582,https://fr.getaround.com/location-voiture/puteaux/fiat-500-1912582,Fiat 500 (2016),2016,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,65.0,,5.0,3,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,1,False,False,,630,399,1
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1167029,https://fr.getaround.com/location-voiture/paris/renault-clio-1167029,Renault Clio (2021),2021,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,58.0,,4.54,81,Puteaux,Paris,Puteaux|Asnières-sur-Seine|Paris 17e,3,1,False,False,,4870,399,2
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1628653,https://fr.getaround.com/location-voiture/asnieres-sur-seine/fiat-500-lounge-1628653,Fiat 500 Lounge (2018),2018,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,81.0,,4.92,65,Puteaux,Asnieres Sur Seine,Puteaux|Asnières-sur-Seine|Paris 17e,3,1,False,False,,5030,399,4
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1769820,https://fr.getaround.com/location-voiture/paris/renault-clio-e-tech-1769820,Renault Clio E-tech (2022),2022,Getaround Connect,CITADINE,SEGMENT_RULES,ELECTRIQUE,True,64.0,,4.5,10,Puteaux,Paris,Puteaux|Asnières-sur-Seine|Paris 17e,3,2,False,False,,5810,399,2
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1527021,https://fr.getaround.com/location-voiture/asnieres-sur-seine/renault-clio-1527021,Renault Clio (2012),2012,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,59.0,,4.82,92,Puteaux,Asnieres Sur Seine,Puteaux|Asnières-sur-Seine|Paris 17e,3,2,False,False,,5300,399,3
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1590444,https://fr.getaround.com/location-voiture/paris/peugeot-2008-1590444,Peugeot 2008 (2023),2023,Getaround Connect,SUV_COMPACT,SEGMENT_RULES,THERMIQUE,True,69.0,,4.14,33,Puteaux,Paris,Puteaux|Asnières-sur-Seine|Paris 17e,3,3,False,False,,4870,399,2
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1625635,https://fr.getaround.com/location-voiture/asnieres-sur-seine/citroen-c1-ii-1625635,Citroen C1 II (2015),2015,Getaround Connect,MICRO_CITADINE,SEGMENT_RULES,THERMIQUE,True,69.0,,5.0,51,Puteaux,Asnieres Sur Seine,Puteaux|Asnières-sur-Seine|Paris 17e,3,3,False,False,,5160,399,4
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,825859,https://fr.getaround.com/location-voiture/paris/renault-clio-825859,Renault Clio (2018),2018,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,52.0,,3.99,148,Puteaux,Paris,Puteaux|Asnières-sur-Seine|Paris 17e,3,4,False,False,,4790,399,2
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,816897,https://fr.getaround.com/location-voiture/asnieres-sur-seine/opel-agila-816897,Opel Agila (2011),2011,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,55.0,,4.72,207,Puteaux,Asnieres Sur Seine,Puteaux|Asnières-sur-Seine|Paris 17e,3,4,False,False,,5520,399,3
20260806T110317,A2,v3.4-search-json,2026-08-07T09:00,2026-08-07T20:00,1228270,https://fr.getaround.com/location-voiture/levallois-perret/renault-clio-1228270,Renault Clio (2020),2020,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,58.0,,4.69,100,Puteaux,Levallois Perret,Puteaux|Asnières-sur-Seine|Paris 17e,3,5,False,False,,4530,399,2
