snapshot_id,pipeline,fenetre_debut,fenetre_fin,version_collecte,annonce_id,url,modele,annee,type_connexion,segment,energie,reservation_instantanee,prix_jour,prix_heure,note,nb_avis,commune_recherche,commune_annonce,communes_recherche,nb_communes_matchees,rang_resultat,livraison_disponible,mon_vehicule,compte_proprietaire
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1832159,https://fr.getaround.com/location-voiture/puteaux/toyota-aygo-ii-1832159?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Toyota Aygo II,2021,GETAROUND CONNECT,MICRO_CITADINE,THERMIQUE,,,deduite,False,65.0,,4.0,2,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1832158,https://fr.getaround.com/location-voiture/puteaux/renault-clio-1832158?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Renault Clio,2015,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,67.0,,3.5,2,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1743643,https://fr.getaround.com/location-voiture/puteaux/renault-clio-1743643?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Renault Clio,2015,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,67.0,,5.0,3,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1701291,https://fr.getaround.com/location-voiture/puteaux/volkswagen-golf-1701291?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Volkswagen Golf,2012,Sur rendez-vous,COMPACTE,THERMIQUE,,,deduite,False,75.0,,4.86,14,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1719415,https://fr.getaround.com/location-voiture/puteaux/volkswagen-polo-1719415?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Volkswagen Polo,2014,Sur rendez-vous,CITADINE,THERMIQUE,,,deduite,False,74.0,,4.38,8,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1078506,https://fr.getaround.com/location-voiture/puteaux/renault-clio-1078506?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Renault Clio,2011,Sur rendez-vous,CITADINE,THERMIQUE,,,deduite,False,63.0,,4.79,21,Puteaux,Puteaux,Puteaux
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1832155,https://fr.getaround.com/location-voiture/puteaux/volkswagen-polo-1832155?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Volkswagen Polo,2013,Sur rendez-vous,CITADINE,THERMIQUE,,,deduite,False,63.0,,,,Puteaux,Puteaux,Puteaux
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1881118,https://fr.getaround.com/location-voiture/puteaux/peugeot-208-1881118?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Peugeot 208,2019,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,70.0,,3.5,2,Puteaux,Puteaux,Puteaux
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1881481,https://fr.getaround.com/location-voiture/puteaux/citroen-c1-1881481?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Citroen C1,2016,GETAROUND CONNECT,MICRO_CITADINE,THERMIQUE,,,deduite,False,72.0,,5.0,2,Puteaux,Puteaux,Puteaux
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1832153,https://fr.getaround.com/location-voiture/puteaux/volkswagen-tiguan-1832153?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Volkswagen Tiguan,2015,GETAROUND CONNECT,SUV_COMPACT,THERMIQUE,,,deduite,False,89.0,,1.0,1,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1881691,https://fr.getaround.com/location-voiture/puteaux/opel-corsa-1881691?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Opel Corsa,2017,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,70.0,,4.5,2,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine
